Names,1,2,3,4
Shmot_CH28,0.008294255648627302,0.012749954620612272,0.002923046746754837,0.006334397695250322
Shmot_CH29,0.007224631520628847,0.004754918614439923,0.0029386075912882733,0.008499804352374674
Shmot_CH3,0.003428839791201758,0.0032829078950427607,0.0032958251896697335,0.004273542682319308
Shmot_CH30,0.003546293233326675,0.004106256206315983,0.0028936070827081453,0.0040874830097376415
Shmot_CH31,0.004143510415795815,0.003510966177727938,0.0028634433308386957,0.0037324967083547374
Shmot_CH32,0.004200061809926349,0.0035544028842268253,0.002918031663780092,0.004343208505242496
Shmot_CH33,0.0035098769071809682,0.0032828398516425647,0.003522991543651612,0.004000332709229856
Shmot_CH34,0.003692274607183022,0.003554122843690681,0.0030933567106073024,0.004349976805919872
Shmot_CH35,0.00488768573760017,0.004784605685765899,0.0029109203888203973,0.0061068251363827234
Shmot_CH36,0.011492508964886308,0.013146739410808116,0.0029261205981736273,0.004243852043862317
Shmot_CH37,0.006433232689803787,0.012941053384385528,0.002871585797016793,0.0034040722602945235
Shmot_CH38,0.010737441259743137,0.011074062018132462,0.0028944804960352078,0.004140350702789116
Shmot_CH39,0.011748212078014228,0.012522874401391906,0.013010959404475463,0.00449140203512709
Shmot_CH4,0.0035792657259256146,0.0033856714559807616,0.005452026305113219,0.004475910086611494
Shmot_CH40,0.0035226114012952797,0.0033858049185883513,0.0029936523531296183,0.008997555210994788
Shmot_CH5,0.003499542314861021,0.003282725835915059,0.0029175921396542154,0.003883790720614056
Shmot_CH6,0.00462979994899605,0.003385709506707232,0.0029043838761791565,0.005357229054836708
Shmot_CH7,0.003541505065899879,0.0033858348857265233,0.0029981095785599817,0.004043741371994272
Shmot_CH8,0.003584265671597569,0.0033856768483006678,0.004333054229878477,0.004308507778791009
Shmot_CH9,0.004825737356783842,0.004909496592626272,0.0029903221126374,0.004627706831138625
Vaikra_CH1,0.003409981319263983,0.0032571585777414927,0.002909100308145293,0.003971940145254657
Vaikra_CH10,0.003441784396943326,0.003282878585535993,0.0029789818266973164,0.004213741273060424
Vaikra_CH11,0.009349285621525844,0.01692820869555049,0.003169501447953066,0.004729008126856857
Vaikra_CH13,0.027551269740571697,0.0300774410493,0.0032552171048860256,0.008587698600842682
Vaikra_CH14,0.007959697830709716,0.0041315066209388265,0.003361641110057399,0.012431149064870597
Vaikra_CH15,0.003711934740053911,0.012163764341677147,0.0028956976397684045,0.004027359783592717
